Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa
NGS,Ndali,November,2008,36.7,21.1,79.5,23.3,0,ME,1,163
NGS,Ndali,November,2008,36.7,21.1,79.5,23.3,0,ME,2,167
NGS,Ndali,November,2008,36.7,21.1,79.5,23.3,0,ME,3,187
NGS,Parakou,November,2008,36.7,21.1,79.5,23.3,0,ME,1,126
NGS,Parakou,November,2008,36.7,21.1,79.5,23.3,0,ME,2,116
SGS,Bassila,November,2008,36.7,21.1,79.5,23.3,0,ME,1,618
SGS,Bassila,August,2009,36.7,21.1,79.5,23.3,0,ME,2,1119
NGS,Ndali,February,2006,38.8,23.6,77,25,7.6,ME,1,41
NGS,Ndali,March,2010,37.9,24.9,77,27,9.2,ME,1,13
NGS,Ndali,February,2006,38.8,23.6,77,25,7.6,ME,2,18
NGS,Ndali,March,2010,37.9,24.9,77,27,9.2,ME,2,10
NGS,Ndali,March,2010,37.9,24.9,77,27,9.2,ME,3,21
NGS,Parakou,March,2010,37.9,24.9,77,27,9.2,ME,1,11
NGS,Parakou,March,2010,37.9,24.9,77,27,9.2,ME,2,27
NGS,Parakou,March,2010,37.9,24.9,77,27,9.2,ME,3,70
SGS,Akofodjoule,January,2009,35.5,22,77,29,0,ME,1,12
SGS,Akofodjoule,January,2009,35.5,22,77,29,0,ME,2,15
SGS,Alafiarou1,March,2010,37.9,24.9,77,27,62.7,ME,1,4
SGS,Alafiarou1,March,2010,37.9,24.9,77,27,62.7,ME,2,6
SGS,Alafiarou1,March,2010,37.9,24.9,77,27,62.7,ME,3,3
SGS,Alafiarou2,March,2010,37.9,24.9,77,27,62.7,ME,1,11
SGS,Alafiarou2,March,2010,37.9,24.9,77,27,62.7,ME,2,6
SGS,Alafiarou2,March,2010,37.9,24.9,77,27,62.7,ME,3,2
SGS,Bassila,February,2006,38.8,23.6,77,25,0,ME,1,406
