Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa,latitude,longitude
NGS,Papatia,March,2009,38.8,24.4,75,40,9.7,ME,2,21,6.4000211,2.0491574
SGS,Akofodjoule,February,2008,38,23.3,72.8,21.1,0,ME,1,113,7.75,2.38289865
SGS,Akofodjoule,February,2008,38,23.3,72.8,21.1,0,ME,2,23,7.75,2.38289865
NGS,Ndali,February,2010,38.3,23.4,71,21,4,ME,1,5,9.8592172,2.6998899
NGS,Ndali,February,2010,38.3,23.4,71,21,4,ME,2,5,9.8592172,2.6998899
NGS,Ndali,February,2010,38.3,23.4,71,21,4,ME,3,17,9.8592172,2.6998899
NGS,Parakou,February,2010,38.3,23.4,71,21,4,ME,1,6,9.33716,2.63031
NGS,Parakou,February,2010,38.3,23.4,71,21,4,ME,2,7,9.33716,2.63031
NGS,Parakou,February,2010,38.3,23.4,71,21,4,ME,3,12,9.33716,2.63031
SGS,Alafiarou1,February,2010,38.3,23.4,71,21,0,ME,1,26,9.8923435,3.4187595
SGS,Alafiarou1,February,2010,38.3,23.4,71,21,0,ME,2,10,9.8923435,3.4187595
SGS,Alafiarou1,February,2010,38.3,23.4,71,21,0,ME,3,2,9.8923435,3.4187595
SGS,Alafiarou2,February,2010,38.3,23.4,71,21,0,ME,1,10,9.8923435,3.4187595
SGS,Alafiarou2,February,2010,38.3,23.4,71,21,0,ME,2,1,9.8923435,3.4187595
SGS,Alafiarou2,February,2010,38.3,23.4,71,21,0,ME,3,5,9.8923435,3.4187595
SGS,Bassila,February,2010,38.3,23.4,71,21,0,ME,1,126,9.00814,1.6654
SGS,Tchourou1,February,2010,38.3,23.4,71,21,0,ME,1,20,8.88649,2.59753
SGS,Tchourou1,February,2010,38.3,23.4,71,21,0,ME,2,18,8.88649,2.59753
SGS,Tchourou1,February,2010,38.3,23.4,71,21,0,ME,3,30,8.88649,2.59753
SGS,Tchourou2,February,2010,38.3,23.4,71,21,0,ME,1,12,8.88649,2.59753
SGS,Tchourou2,February,2010,38.3,23.4,71,21,0,ME,2,10,8.88649,2.59753
SGS,Tchourou2,February,2010,38.3,23.4,71,21,0,ME,3,10,8.88649,2.59753
FSM,Ketou,January,2008,34.6,21.4,70.6,22.6,0,ME,1,149,7.36332,2.59978
FSM,Ketou,January,2008,34.6,21.4,70.6,22.6,0,ME,2,144,7.36332,2.59978
FSM,Lalo,January,2008,34.6,21.4,70.6,22.6,0,ME,1,52,6.9300647,1.8785304
FSM,Lalo,January,2008,34.6,21.4,70.6,22.6,0,ME,2,54,6.9300647,1.8785304
NGS,Natitingou,December,2008,36.2,19.4,70.5,38,0,ME,1,404,10.30416,1.37962
NGS,Natitingou,December,2008,36.2,19.4,70.5,38,0,ME,2,134,10.30416,1.37962
NGS,Natitingou,December,2008,36.2,19.4,70.5,38,0,ME,3,176,10.30416,1.37962
NGS,Papatia,December,2008,36.2,19.4,70.5,38,0,ME,1,109,6.4000211,2.0491574
NGS,Papatia,December,2008,36.2,19.4,70.5,38,0,ME,2,100,6.4000211,2.0491574
NGS,Natitingou,March,2008,38.9,22.9,69.5,29,27.8,ME,1,0,10.30416,1.37962
NGS,Natitingou,March,2008,38.9,22.9,69.5,29,27.8,ME,2,0,10.30416,1.37962
NGS,Natitingou,March,2008,38.9,22.9,69.5,29,27.8,ME,3,0,10.30416,1.37962
NGS,Papatia,March,2008,38.9,22.9,69.5,29,27.8,ME,1,0,6.4000211,2.0491574
NGS,Papatia,March,2008,38.9,22.9,69.5,29,27.8,ME,2,0,6.4000211,2.0491574
NGS,Natitingou,November,2005,36.5,19.2,69,23,0,ME,1,80,10.30416,1.37962
NGS,Natitingou,December,2009,37.8,18.2,69,32,0,ME,1,21,10.30416,1.37962
NGS,Natitingou,December,2009,37.8,18.2,69,32,0,ME,2,64,10.30416,1.37962
NGS,Natitingou,December,2009,37.8,18.2,69,32,0,ME,3,34,10.30416,1.37962
NGS,Papatia,December,2009,37.8,18.2,69,32,0,ME,1,33,6.4000211,2.0491574
NGS,Papatia,December,2009,37.8,18.2,69,32,0,ME,2,19,6.4000211,2.0491574
